sentiment;text
positive;Я очень благодарен доктору Ивановой за ее профессионализм и заботу о моем здоровье. Она провела тщательное обследование, объяснила все мои вопросы и предоставила мне полезные советы. Я был очень доволен ее работой.
neutral;Я посетил доктора Смирнова на свой последний прием и был немного разочарован тем, что он не смог полностью решить мою проблему. Он был добр и вежлив, но я чувствовал, что ему не хватало опыта, чтобы дать мне полный ответ на мои вопросы.
negative;Мой визит к доктору Петрову был ужасным опытом. Он был невежлив и неинтересован в моих проблемах. Он провел быстрое обследование, но не дал мне никакой полезной информации или рекомендации. Я не рекомендую его никому.
positive;Я очень доволен посещением доктора Лебедевой. Она была очень внимательна и дала мне полезные рекомендации по уходу за моим здоровьем. Я чувствую себя гораздо лучше благодаря ее заботе
negative;Посещение доктора Никитина было ужасным опытом. Он был очень груб и невежлив, и я чувствовал себя неуютно во время визита. Он не уделил мне достаточно внимания и не дал мне никакой полезной информации. Я никогда больше не пойду к нему на прием.
positive;Доктор Соколова была очень дружелюбной и заботливой. Она провела тщательное обследование и ответила на все мои вопросы. Я чувствовал себя очень комфортно в ее присутствии и рекомендую ее своим друзьям и семье.
neutral;Я был довольно разочарован после моего визита к доктору Зайцевой. Хотя она была профессиональна, я чувствовал, что она не очень заинтересована в моей проблеме и не дала мне никаких конкретных советов. Я не знаю, стоит ли мне идти к ней снова.
negative;Доктор Громова была ужасна. Она была грубой и неуважительной ко мне и моим проблемам. Она провела очень быстрое обследование и не дала мне никакой информации о том, как мне следует действовать. Я не рекомендую ее никому.
neutral;Мой визит к доктору Шевченко был нормальным. Я не могу сказать, что он был особенно дружелюбным или профессиональным, но он выполнил свою работу и дал мне некоторые рекомендации. Я не впечатлен, но и не разочарован.
negative;Он был очень груб и невежлив, и я чувствовал себя неуютно во время визита. Он не уделил мне достаточно внимания и не дал мне никакой полезной информации.
neutral;Врач был средним. Я, вероятно, найду другого доктора в следующий раз.
positive;мой врач Бибигуль Сериковна профессионал своего дела, операция прошла успешна персонал, медсестры выполняют свою работу четко
positive;Сотрудники грамотно и всрок делают свою работу недоводите до антологии. Сходите и обследуйтесь небойтесь. Нам помогли мы благодарны
negative;Нормально не умеют даже систему ставить!!!!! Ужас и у них после наркоза даже элементарно салфетки нету. А за услугу 115000 заплатила
positive;Чисто , аккуратно. И все профессионально.
positive;Была на приеме у Жулдыз Талаповны..Очень чуткий и грамотный врач. Подход очень теплый..на все вопросы получила ответы. Очень профессиональный врач, а в первую очередь добрый и приятный человек
positive;Азамат Туранович хороший стоматолог, советую
positive;Очень помогла невропатолог Зумрат Асановна, ее рекомендации помогли,иду на поправку,очень внимательная и трепетна относиться ,рекомендую
positive;Внезапно весенним утром колено отказало,так что ходить не смог. Обратился доктору Нуртаевой Алии Аликанте и нашел отзывчивого ,внимательного и профессионала своего дела врача! Уже на следующий день сам начали ходить и наслаждаться жизнью. Рекомендую данного специалиста всем,кто ищет хорошего доктора !
negative;Ужасно. Позвонила с перва узнала насчет процедурного кабинета сказала что назначение с другой клиники, сказали что могу подойти, оставила грудного ребенка дома приехала а мне говорят якобы без печати врача не будут ставить капельницы. Показала бумаги где есть печать врача они все равно отказались.
negative;По телефону сказали что капельницу поставят по назначению , приезжаю через весь город в надежде что поставлю и на ресепшене мне говорят что нужна печать на назначении , почему это так важно , неужели я бы печатала себе назначение ради какой то капельницы ? Я совершенно не похожа на наркоманку или человека который ради прикола поехал себе капельницу ставить , уточняйте пожалуйста что обязательно нужна печать , было очень неприятно это слышать
positive;Здравствуйте! Прохожу лечение у Байкенже Бибигуль Сериковна , очень хороший врач , знает свое дело на 100%. Результат лечения очень радует !
positive;Огромное спасибо врачу урологу Салтабаеву Тимуру Айтказиевичу за профессионализм и добродушное человеческое отношение! Подобранное лечение и процедуры быстро и эффективно помогли с проблемой.
